"filename", "language", "PHP", "JavaScript", "HTML", "PostCSS", "XML", "MS SQL", "Markdown", "CSS", "comment", "blank", "total"
"c:\Users\Kyle\Documents\GitHub\Hunters_Site\.idea\Hunters_Site.iml", "XML", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 8
"c:\Users\Kyle\Documents\GitHub\Hunters_Site\.idea\inspectionProfiles\profiles_settings.xml", "XML", 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 6
"c:\Users\Kyle\Documents\GitHub\Hunters_Site\.idea\misc.xml", "XML", 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 4
"c:\Users\Kyle\Documents\GitHub\Hunters_Site\.idea\modules.xml", "XML", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 8
"c:\Users\Kyle\Documents\GitHub\Hunters_Site\.idea\vcs.xml", "XML", 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 6
"c:\Users\Kyle\Documents\GitHub\Hunters_Site\Encounter.js", "JavaScript", 0, 1420, 0, 0, 0, 0, 0, 0, 203, 131, 1754
"c:\Users\Kyle\Documents\GitHub\Hunters_Site\GameManager.js", "JavaScript", 0, 516, 0, 0, 0, 0, 0, 0, 107, 83, 706
"c:\Users\Kyle\Documents\GitHub\Hunters_Site\GameObject.js", "JavaScript", 0, 24, 0, 0, 0, 0, 0, 0, 0, 4, 28
"c:\Users\Kyle\Documents\GitHub\Hunters_Site\Main.js", "JavaScript", 0, 96, 0, 0, 0, 0, 0, 0, 15, 20, 131
"c:\Users\Kyle\Documents\GitHub\Hunters_Site\MenuIcon.js", "JavaScript", 0, 40, 0, 0, 0, 0, 0, 0, 4, 7, 51
"c:\Users\Kyle\Documents\GitHub\Hunters_Site\Patrol.js", "JavaScript", 0, 599, 0, 0, 0, 0, 0, 0, 76, 46, 721
"c:\Users\Kyle\Documents\GitHub\Hunters_Site\PatrolLog.js", "JavaScript", 0, 173, 0, 0, 0, 0, 0, 0, 19, 19, 211
"c:\Users\Kyle\Documents\GitHub\Hunters_Site\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 9, 0, 0, 3, 12
"c:\Users\Kyle\Documents\GitHub\Hunters_Site\Ship.js", "JavaScript", 0, 184, 0, 0, 0, 0, 0, 0, 13, 33, 230
"c:\Users\Kyle\Documents\GitHub\Hunters_Site\Sprite.js", "JavaScript", 0, 79, 0, 0, 0, 0, 0, 0, 36, 18, 133
"c:\Users\Kyle\Documents\GitHub\Hunters_Site\SpriteOLD.js", "JavaScript", 0, 374, 0, 0, 0, 0, 0, 0, 76, 69, 519
"c:\Users\Kyle\Documents\GitHub\Hunters_Site\SpriteShip.js", "JavaScript", 0, 213, 0, 0, 0, 0, 0, 0, 61, 42, 316
"c:\Users\Kyle\Documents\GitHub\Hunters_Site\SpriteUboat.js", "JavaScript", 0, 144, 0, 0, 0, 0, 0, 0, 37, 23, 204
"c:\Users\Kyle\Documents\GitHub\Hunters_Site\SpriteWake.js", "JavaScript", 0, 135, 0, 0, 0, 0, 0, 0, 26, 25, 186
"c:\Users\Kyle\Documents\GitHub\Hunters_Site\TacticalView.js", "JavaScript", 0, 533, 0, 0, 0, 0, 0, 0, 36, 48, 617
"c:\Users\Kyle\Documents\GitHub\Hunters_Site\UI.js", "JavaScript", 0, 301, 0, 0, 0, 0, 0, 0, 28, 33, 362
"c:\Users\Kyle\Documents\GitHub\Hunters_Site\Uboat.js", "JavaScript", 0, 1107, 0, 0, 0, 0, 0, 0, 187, 109, 1403
"c:\Users\Kyle\Documents\GitHub\Hunters_Site\api\create_tables.sql", "MS SQL", 0, 0, 0, 0, 0, 48, 0, 0, 5, 9, 62
"c:\Users\Kyle\Documents\GitHub\Hunters_Site\api\db copy.php", "PHP", 21, 0, 0, 0, 0, 0, 0, 0, 5, 4, 30
"c:\Users\Kyle\Documents\GitHub\Hunters_Site\api\db.php", "PHP", 14, 0, 0, 0, 0, 0, 0, 0, 0, 4, 18
"c:\Users\Kyle\Documents\GitHub\Hunters_Site\api\get_play.php", "PHP", 17, 0, 0, 0, 0, 0, 0, 0, 0, 6, 23
"c:\Users\Kyle\Documents\GitHub\Hunters_Site\api\start_play.php", "PHP", 39, 0, 0, 0, 0, 0, 0, 0, 2, 7, 48
"c:\Users\Kyle\Documents\GitHub\Hunters_Site\api\submit_game.php", "PHP", 125, 0, 0, 0, 0, 0, 0, 0, 3, 9, 137
"c:\Users\Kyle\Documents\GitHub\Hunters_Site\api\test.php", "PHP", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Kyle\Documents\GitHub\Hunters_Site\api\test_db.php", "PHP", 8, 0, 0, 0, 0, 0, 0, 0, 2, 3, 13
"c:\Users\Kyle\Documents\GitHub\Hunters_Site\buttons\BeginPatrolButton.js", "JavaScript", 0, 14, 0, 0, 0, 0, 0, 0, 1, 2, 17
"c:\Users\Kyle\Documents\GitHub\Hunters_Site\buttons\Button.js", "JavaScript", 0, 82, 0, 0, 0, 0, 0, 0, 14, 14, 110
"c:\Users\Kyle\Documents\GitHub\Hunters_Site\buttons\ContinuePatrolButton.js", "JavaScript", 0, 13, 0, 0, 0, 0, 0, 0, 1, 2, 16
"c:\Users\Kyle\Documents\GitHub\Hunters_Site\buttons\DeckGunButton.js", "JavaScript", 0, 91, 0, 0, 0, 0, 0, 0, 8, 8, 107
"c:\Users\Kyle\Documents\GitHub\Hunters_Site\buttons\FireAttackButton.js", "JavaScript", 0, 11, 0, 0, 0, 0, 0, 0, 1, 2, 14
"c:\Users\Kyle\Documents\GitHub\Hunters_Site\buttons\OpenStatusButton.js", "JavaScript", 0, 12, 0, 0, 0, 0, 0, 0, 1, 2, 15
"c:\Users\Kyle\Documents\GitHub\Hunters_Site\buttons\ReloadButton.js", "JavaScript", 0, 20, 0, 0, 0, 0, 0, 0, 1, 2, 23
"c:\Users\Kyle\Documents\GitHub\Hunters_Site\buttons\TorpedoButton.js", "JavaScript", 0, 196, 0, 0, 0, 0, 0, 0, 30, 8, 234
"c:\Users\Kyle\Documents\GitHub\Hunters_Site\highscores.php", "PHP", 291, 0, 0, 0, 0, 0, 0, 0, 13, 60, 364
"c:\Users\Kyle\Documents\GitHub\Hunters_Site\index.html", "HTML", 0, 0, 105, 0, 0, 0, 0, 0, 4, 7, 116
"c:\Users\Kyle\Documents\GitHub\Hunters_Site\init.js", "JavaScript", 0, 6, 0, 0, 0, 0, 0, 0, 0, 2, 8
"c:\Users\Kyle\Documents\GitHub\Hunters_Site\popups\AdminPopup.js", "JavaScript", 0, 50, 0, 0, 0, 0, 0, 0, 3, 12, 65
"c:\Users\Kyle\Documents\GitHub\Hunters_Site\popups\AircraftPopup.js", "JavaScript", 0, 108, 0, 0, 0, 0, 0, 0, 19, 25, 152
"c:\Users\Kyle\Documents\GitHub\Hunters_Site\popups\AttackDepthAndRangePopup.js", "JavaScript", 0, 75, 0, 0, 0, 0, 0, 0, 8, 13, 96
"c:\Users\Kyle\Documents\GitHub\Hunters_Site\popups\AwardsPopup.js", "JavaScript", 0, 86, 0, 0, 0, 0, 0, 0, 8, 20, 114
"c:\Users\Kyle\Documents\GitHub\Hunters_Site\popups\EncounterPopup.js", "JavaScript", 0, 297, 0, 0, 0, 0, 0, 0, 53, 57, 407
"c:\Users\Kyle\Documents\GitHub\Hunters_Site\popups\EscortDetectionPopup.js", "JavaScript", 0, 117, 0, 0, 0, 0, 0, 0, 5, 19, 141
"c:\Users\Kyle\Documents\GitHub\Hunters_Site\popups\FollowPopup.js", "JavaScript", 0, 56, 0, 0, 0, 0, 0, 0, 11, 16, 83
